Date,Open,High,Low,Close,Volume,Adj Close
2017-09-13,249.72000099999997,250.210007,249.58999599999999,250.169998,59228000,236.101639
2017-09-14,249.80000299999998,250.32000699999998,249.600006,250.08999599999999,95446300,236.02613799999997
2017-09-15,248.690002,249.289993,248.57000699999998,249.190002,95432400,236.34385699999999
2017-09-18,249.61000099999998,250.11999500000002,249.27999900000003,249.72000099999997,46235200,236.846527
2017-09-19,250.0,250.07000699999998,249.600006,249.97000099999997,47108100,237.083649
2017-09-20,250.07000699999998,250.190002,248.919998,250.059998,59574100,237.169006
2017-09-21,249.88000499999998,249.979996,249.190002,249.38999900000002,48211400,236.533554
2017-09-22,249.05000299999998,249.63000499999998,249.020004,249.440002,51214000,236.580978
2017-09-25,249.149994,249.55000299999998,248.080002,248.92999300000002,57064400,236.09726
2017-09-26,249.419998,249.69999700000002,248.809998,249.080002,54082000,236.23954799999998
2017-09-27,249.88000499999998,250.49000499999997,248.86999500000002,250.05000299999998,81001400,237.15953100000002
2017-09-28,249.729996,250.440002,249.63000499999998,250.350006,44778800,237.44406099999998
2017-09-29,250.33999599999999,251.32000699999998,250.13000499999998,251.229996,85578000,238.278702
2017-10-02,251.49000499999997,252.32000699999998,251.289993,252.32000699999998,59023000,239.312515
2017-10-03,252.32000699999998,252.88999900000002,252.229996,252.86000099999998,66810200,239.824646
2017-10-04,252.690002,253.440002,252.559998,253.16000400000001,55953600,240.10923799999998
2017-10-05,253.539993,254.67999300000002,253.19999700000002,254.66000400000001,63522800,241.531906
2017-10-06,254.149994,254.69999700000002,253.850006,254.36999500000002,80646000,241.25680499999999
2017-10-09,254.63000499999998,254.69999700000002,253.649994,253.94999700000002,35803100,240.85849
2017-10-10,254.600006,255.05000299999998,253.979996,254.61999500000002,43057400,241.493927
2017-10-11,254.50999500000003,255.020004,254.32000699999998,255.020004,47674300,241.87333700000002
2017-10-12,254.66000400000001,255.059998,254.36999500000002,254.63999900000002,47065100,241.512894
2017-10-13,255.13999900000002,255.270004,254.63999900000002,254.94999700000002,54800400,241.80694599999998
2017-10-16,255.210007,255.50999500000003,254.82000699999998,255.289993,38221700,242.12941
2017-10-17,255.229996,255.520004,254.979996,255.47000099999997,31561000,242.300125
2017-10-18,255.899994,255.94999700000002,255.5,255.72000099999997,40888300,242.53723100000002
2017-10-19,254.830002,255.830002,254.350006,255.789993,61903800,242.60362200000003
2017-10-20,256.700012,257.140015,255.770004,257.109985,89176400,243.85556
2017-10-23,257.480011,257.51001,256.019989,256.109985,63915300,242.90712000000002
2017-10-24,256.600006,256.829987,256.149994,256.559998,66935900,243.333923
2017-10-25,256.179993,256.309998,254.0,255.289993,103715300,242.12941
2017-10-26,255.99000499999997,256.299988,255.479996,255.61999500000002,69798000,242.442398
2017-10-27,256.47000099999997,257.890015,255.63000499999998,257.709991,85562500,244.42463700000002
2017-10-30,256.47000099999997,257.600006,256.410004,256.75,54285700,243.51413
2017-10-31,257.179993,257.440002,256.809998,257.149994,60304800,243.893478
2017-11-01,258.040009,258.429993,257.070007,257.48999,54202700,244.215973
2017-11-02,257.410004,257.75,256.190002,257.589996,56449500,244.31083700000002
